"Market","Channel","Region","Category","SubCategory","Brand","Variant","PackType","PPG","PackSize","Year","Month","Week","Date","BrCatId","SalesValue","Volume","VolumeUnits","D1","D2","D3","D4","D5","D6","AV1","AV2","AV3","AV4","AV5","AV6","EV1","EV2","EV3","EV4","EV5","EV6","PrepDate","ProjCode"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,29,"2021-07-17","Brand",62836.05,16525.44,28992,98.8502875095882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,30,"2021-07-24","Brand",47933.82,11357.82,19926,97.1021426664645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,7,31,"2021-07-31","Brand",48670.67,11539.65,20245,96.9976321829561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,32,"2021-08-07","Brand",78318.04,21147.57,37101,99.2434631221877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,33,"2021-08-14","Brand",93336.4,26596.77,46661,99.3294223773146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,34,"2021-08-21","Brand",97817.55,27879.825,48912,99.3203754330799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,8,35,"2021-08-28","Brand",67196,17710.47,31071,98.8084782662117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,36,"2021-09-04","Brand",52464.1,12433.41,21813,96.9736304172452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,37,"2021-09-11","Brand",47698.25,11305.95,19835,97.5227583890583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,38,"2021-09-18","Brand",80194.95,21722.13,38109,99.2315911927901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,9,39,"2021-09-25","Brand",98331,28020.06,49158,99.286556185817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,10,40,"2021-10-02","Brand",84578.8,24104.16,42288,99.0546889390802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,10,41,"2021-10-09","Brand",51945.66,13775.76,24168,98.8876065383329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,10,42,"2021-10-16","Brand",39336.51,9324.06,16358,96.3026282884209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,10,43,"2021-10-23","Brand",42109.15,9980.13,17509,97.3357160608749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,10,44,"2021-10-30","Brand",78839.88,21376.71,37503,99.2837441337446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,11,45,"2021-11-06","Brand",98567.9,28089.6,49280,99.298033103475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,11,46,"2021-11-13","Brand",74458.4,20646.78,35582,86.4816418446514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,11,47,"2021-11-20","Brand",78921.25,20914.14,32110,81.0008961192529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,11,48,"2021-11-27","Brand",80833.9,22373.84,32483,89.7594849359289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,12,49,"2021-12-04","Brand",93980.6,26230.88,37635,96.8913471537367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,12,50,"2021-12-11","Brand",67399.21,17606,25235,97.1767859698275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,12,51,"2021-12-18","Brand",56201.25,13572.86,19447,95.4700699805504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2021,12,52,"2021-12-25","Brand",55364.85,13342.25,19091,96.0789910234514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,1,1,"2022-01-01","Brand",70394.45,18881.62,26999,97.5898579369091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,1,2,"2022-01-08","Brand",86032.55,24082.21,34426,98.1815232797299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
"uk","convenience","allregion","ketchup","allsubcategory","heinz","allvariant","packtype","large","allpacksize",2022,1,3,"2022-01-15","Brand",85341.2,23901.93,34164,98.4925755145395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2024-10-09 16:50:58.299280","UKKetchup"
